review_id,outcome_id,article_id,study_label,missing_fields,title
"CSR_0093","1","ART_01027","Chen 2014","Wald-Z","Sevelamer carbonate lowers serum phosphorus effectively in haemodialysis patients: a randomized, double-blind, placebo-controlled, dose-titration study"
"CSR_0093","2","ART_01030","Lin 2014a","CI; Wald-Z","Long-term sevelamer treatment lowers serum fibroblast growth factor 23 accompanied with increasing serum Klotho levels in chronic haemodialysis patients"
"CSR_0093","2","ART_01031","Bleyer 1999","CI; Wald-Z","A comparison of the calcium-free phosphate binder sevelamer hydrochloride with calcium acetate in the treatment of hyperphosphatemia in hemodialysis patients"
"CSR_0093","2","ART_01032","CARE 2004","CI; Wald-Z","Treatment of hyperphosphatemia in hemodialysis patients: the Calcium Acetate Renagel Evaluation (CARE Study)"
"CSR_0093","2","ART_01033","Ferreira 2008","CI; Wald-Z","Effects of sevelamer hydrochloride and calcium carbonate on renal osteodystrophy in hemodialysis patients"
"CSR_0093","2","ART_01034","Kakuta 2011","CI; Wald-Z","Effect of sevelamer and calcium-based phosphate binders on coronary artery calcification and accumulation of circulating advanced glycation end products in hemodialysis patients"
"CSR_0093","2","ART_01035","Diaz-De la Cruz 2021","CI; Wald-Z","The influence of sevelamer hydrochloride and calcium carbonate on markers of inflammation and oxidative stress in hemodialysis at six months of follow-up"
"CSR_0093","2","ART_01036","SCaRF 2020","CI; Wald-Z","Effect of sevelamer on calciprotein particles in haemodialysis patients: the Sevelamer versus Calcium to Reduce Fetuin-A-Containing Calciprotein Particles in Dialysis (SCaRF) randomized controlled trial"
"CSR_0093","2","ART_01037","Takkavatakarn 2021","CI; Wald-Z","Protein-bound uremic toxins lowering effect of sevelamer in pre-dialysis chronic kidney disease patients with hyperphosphatemia: a randomized controlled trial"
"CSR_0099","3","ART_00881","Hajiaghamohammadi 2012 — silymarin versus pioglitazone","Characteristics","Effects of metformin, pioglitazone, and silymarin treatment on non-alcoholic fatty liver disease: a randomized controlled pilot study"
"CSR_0099","3","ART_00882","Hajiaghamohammadi 2012 — silymarin versus metformin","Characteristics","Effects of metformin, pioglitazone, and silymarin treatment on non-alcoholic fatty liver disease: a randomized controlled pilot study"
"CSR_0099","6","ART_00889","Fang 2014","Wald-Z","Comparison of therapeutic effects between Huazhi Ruogan granules and Silybin capsules in the treatment of non-alcoholic fatty liver disease"
"CSR_0137","1","ART_01053","Bronstein 2015","Wald-Z","Impact of a social work care coordination intervention on hospital readmission: a randomized controlled trial"
"CSR_0149","1","ART_01071","Rizk 2019","Wald-Z","Preprocedural ultrasound versus landmark techniques for spinal anesthesia performed by novice residents in elderly: a randomized controlled trial"
"CSR_0195","1","ART_01108","Poeschmann 1991","Wald-Z","A randomized comparison of oxytocin, sulprostone and placebo in the management of the third stage of labour"
"CSR_0208","2","ART_01135","Dandapat 1992","Effect estimate; CI; Wald-Z","A perforated appendix: should we drain?"
"CSR_0208","2","ART_01136","Human 2022","Effect estimate; CI; Wald-Z","Laparoscopic appendectomy for complicated appendicitis in children: does the post-operative peritoneal drain make any difference? A pilot prospective randomised controlled trial"
